iter	Passed	Remaining
935	1640	112
936	1642	110
937	1644	108
938	1646	106
939	1647	105
940	1649	103
941	1651	101
942	1652	99
943	1654	98
944	1656	96
945	1657	94
946	1659	92
947	1661	91
948	1662	89
949	1664	87
950	1666	85
951	1667	84
952	1669	82
953	1671	80
954	1673	78
955	1674	77
956	1676	75
957	1677	73
958	1680	71
959	1681	70
960	1683	68
961	1685	66
962	1686	64
963	1688	63
964	1689	61
965	1691	59
966	1693	57
967	1695	56
968	1696	54
969	1698	52
970	1700	50
971	1701	49
972	1703	47
973	1705	45
974	1706	43
975	1708	42
976	1710	40
977	1712	38
978	1714	36
979	1715	35
980	1717	33
981	1719	31
982	1721	29
983	1722	28
984	1724	26
985	1726	24
986	1728	22
987	1729	21
988	1731	19
989	1733	17
990	1734	15
991	1736	14
992	1738	12
993	1740	10
994	1742	8
995	1743	7
996	1745	5
997	1747	3
998	1748	1
999	1750	0
